title,location,industry_experience,org_size,regulatory_requirements,certifications,nice_to_haves,custom_criteria
Chief Information Security Officer,US,manufacturing|tech,Top 100,NIST|SOX|CMMC|HIPAA,CISSP|CISM|CISA,government experience|board-level reporting,Must have US regulatory experience
Chief Financial Officer,US,manufacturing|tech,Top 100,SOX|SEC|GAAP,CPA|CFA|CMA,IPO experience|M&A experience,Public company experience required
Chief Technology Officer,US,SaaS|enterprise software,Top 100,SOC2|GDPR|CCPA,AWS SA|Azure Expert,AI/ML leadership|platform engineering,Scaled engineering teams 200+
VP Engineering,US,fintech|enterprise,Fortune 500,PCI-DSS|SOC2,AWS SA|PMP,distributed systems|microservices,Built and led teams of 100+
Chief People Officer,US,manufacturing|tech,Top 100,EEOC|OFCCP|ADA,SHRM-SCP|SPHR,M&A integration|workforce transformation,Global HR leadership across 10+ countries
Chief Data Officer,US,financial services|tech,Top 100,GDPR|CCPA|GLBA,CDMP|DAMA,AI governance|data mesh architecture,Built enterprise data platforms at scale
VP Product,US,B2B SaaS|marketplace,Fortune 500,N/A,CPM|CSPO,0-to-1 product launches|PLG experience,Led product org of 50+
Chief Marketing Officer,US,consumer|DTC|tech,Top 100,FTC|CAN-SPAM|TCPA,N/A,brand building|performance marketing|ABM,Led marketing through IPO or major rebrand
General Counsel,US,tech|manufacturing,Top 100,SEC|IP law|antitrust|trade compliance,JD|bar admission,patent portfolio management|international trade,M&A transaction experience at Fortune 500
Chief Supply Chain Officer,US,manufacturing|logistics,Top 100,FDA|EPA|customs regulations,CSCP|CPIM|Six Sigma,global sourcing|sustainability|reshoring,Led supply chain transformation at scale
